-182.090, 75.967, 1.379,  4.636
-182.075, 75.924, 1.383,  4.669
-182.060, 75.880, 1.387,  4.702
-182.045, 75.836, 1.392,  4.735
-182.030, 75.791, 1.397,  4.768
-182.016, 75.747, 1.402,  4.801
-182.001, 75.702, 1.407,  4.834
-181.986, 75.658, 1.412,  4.867
-181.972, 75.613, 1.417,  4.900
-181.957, 75.568, 1.422,  4.933
-181.943, 75.522, 1.427,  4.966
-181.928, 75.477, 1.432,  4.999
-181.914, 75.431, 1.437,  5.032
-181.899, 75.385, 1.442,  5.065
-181.885, 75.339, 1.447,  5.098
-181.871, 75.293, 1.452,  5.131
-181.857, 75.246, 1.457,  5.164
-181.842, 75.200, 1.462,  5.197
-181.828, 75.153, 1.467,  5.230
-181.814, 75.106, 1.472,  5.263
-181.800, 75.058, 1.477,  5.296
-181.786, 75.011, 1.482,  5.329
-181.772, 74.963, 1.487,  5.362
-181.759, 74.915, 1.489,  5.395
-181.747, 74.867, 1.494,  5.428
-181.734, 74.818, 1.499,  5.461
-181.721, 74.770, 1.504,  5.494
-181.709, 74.721, 1.509,  5.527
-181.697, 74.672, 1.514,  5.560
-181.684, 74.622, 1.520,  5.593
-181.672, 74.573, 1.525,  5.626
-181.660, 74.523, 1.530,  5.659
-181.648, 74.473, 1.536,  5.692
-181.637, 74.423, 1.541,  5.725
-181.625, 74.373, 1.546,  5.758
-181.614, 74.322, 1.552,  5.791
-181.602, 74.271, 1.557,  5.824
-181.591, 74.220, 1.562,  5.857
-181.580, 74.169, 1.568,  5.890
-181.569, 74.118, 1.573,  5.923
-181.558, 74.066, 1.578,  5.956
-181.547, 74.014, 1.584,  5.989
-181.536, 73.962, 1.589,  6.022
-181.526, 73.910, 1.594,  6.055
-181.516, 73.858, 1.599,  6.088
-181.506, 73.805, 1.604,  6.121
-181.496, 73.752, 1.610,  6.154
-181.487, 73.699, 1.615,  6.187
-181.477, 73.645, 1.621,  6.220
-181.468, 73.592, 1.626,  6.253
-181.458, 73.538, 1.632,  6.286
-181.449, 73.484, 1.637,  6.319
-181.441, 73.430, 1.643,  6.352
